status_a,status_b,diff,se_diff,z,p_two_sided,q_BH,different_at_FDR
Rex1-Lo,Rex1-Hi,-25.469610230352547,3.9263255352239312,-6.486881946455806,8.763094687532669e-11,1.0742791215121325e-40,True
Rex1-Lo,2i,-58.62075204055547,4.3620455142480425,-13.438821729181543,3.5809304050404415e-41,1.0742791215121325e-40,True
Rex1-Hi,2i,-33.15114181020293,4.321759979214146,-7.6707503354295525,1.7099309083602086e-14,1.0742791215121325e-40,True
