status_a,status_b,diff,se_diff,z,p_two_sided,q_BH,different_at_FDR
2i,Rex1-Hi,25.548942825735597,9378.539373015681,0.002724192095332677,0.99782641187492,0.4999818842134227,False
2i,Rex1-Lo,28.22268007254324,9378.539470169473,0.003009283072520166,0.9975989431212603,0.4999818842134227,False
Rex1-Hi,Rex1-Lo,2.6737372468076464,1.9332686384335003,1.3830138210766907,0.1666606280711409,0.4999818842134227,False
