gene,cond,t0,lam,k,pi,t10,t50,t90,lam_se,t50_se,k_se,pi_se,r2,AIC,BIC,success,message
Esrrb,siNeg,0.0,9.919402284148394,1.4475611124367485,0.7962783223572766,2.0957267443075867,7.700607834608838,17.648601734840753,0.9501000424812781,0.5719378569173824,0.17352920879110437,0.037360753272139044,0.9981202962862513,-37.40744920410969,-38.57913546680739,True,`ftol` termination condition is satisfied.
Esrrb,siPum1,0.0,14.04742803346699,2.4272003642452784,0.6782484962903561,5.5583097203915335,12.078620472661127,19.807456101920383,0.3978518843189533,0.3050168888243565,0.10990048577688435,0.014459712806933903,0.9996013885599705,-46.00789088225435,-47.17957714495205,True,`ftol` termination condition is satisfied.
Klf2,siNeg,0.0,3.9870413555920137,2.014972989773053,0.778450407346372,1.3050310894329096,3.323952990531038,6.031325914229016,0.3571727328786283,0.5280728830135472,1.492575334792446,0.033442136503523824,0.9903051302595488,-29.111807534349765,-30.283493797047463,True,`gtol` termination condition is satisfied.
Klf2,siPum1,0.0,6.56787087002153,4.6323962346868965,0.5569007924000016,4.040630199779048,6.0682496421666805,7.863510443994646,0.35841419977228073,0.3574442038581282,0.8459480508500289,0.01884343930446115,0.9955997469968462,-34.83694106769779,-36.00862733039549,True,`gtol` termination condition is satisfied.
Klf4,siNeg,0.0,11.98445364421717,1.3648231388541074,0.9999999999999999,2.304297575285669,9.162030747331272,22.08066279724362,1.319915346793747,0.8190151047300253,0.12767279799779535,0.061819305112368585,0.9989303445603617,-38.60742340009367,-39.77910966279137,True,`ftol` termination condition is satisfied.
Klf4,siPum1,0.0,11.156626011554014,0.9986979511173995,0.9999999999999445,1.1720242087368657,7.729489523313636,25.717029388763144,4.166768511623415,2.2983956070426874,0.2303625103198836,0.17464304162474673,0.996170225008445,-33.026259391380435,-34.19794565407813,True,`ftol` termination condition is satisfied.
Nanog,siNeg,0.0,9.772619429159354,0.8622501301553218,0.9999999999999999,0.7187130536656489,6.388623814123083,25.709457038995826,4.8572471766469345,2.430009995139634,0.26129534862953785,0.20578997682866482,0.9951476800386965,-31.97049624989733,-33.14218251259503,True,`ftol` termination condition is satisfied.
Nanog,siPum1,0.0,16.41027686504744,1.1297566654362963,0.9999999999999791,2.238941766224635,11.863781637224035,34.33442721375797,14.70219392331661,9.254401637166755,0.43453783744725055,0.5289321406781116,0.9880360042858589,-28.4136520464333,-29.585338309130996,True,`ftol` termination condition is satisfied.
Tbx3,siNeg,0.0,5.830375546939622,0.9532767098050471,0.9999999999999999,0.5501391865110445,3.9693583857066814,13.985101557207075,0.6337778160979464,0.32692409414951323,0.16950211013419758,0.043778188420352616,0.9979598098748397,-35.10781303125489,-36.27949929395259,True,`ftol` termination condition is satisfied.
Tbx3,siPum1,0.0,10.884176488812331,1.7126850789153818,0.9982639539058031,2.9252177721763433,8.787330962528317,17.712731092956684,0.49019406803366744,0.31673686797684825,0.10556368662942378,0.023620189982859575,0.9994404165394304,-40.9083364202747,-42.0800226829724,True,`ftol` termination condition is satisfied.
Tfcp2l1,siNeg,0.0,4.812210900933325,1.0303617116974888,0.9322384486237888,0.5417779576114933,3.37178998533308,10.811523991924902,0.03554858697099458,0.028999223130906485,0.017833170606145747,0.0025571516691010746,0.9999793467134945,-58.59401685190046,-59.76570311459816,True,`ftol` termination condition is satisfied.
Tfcp2l1,siPum1,0.0,7.277630726783398,4.01579336850275,0.8659043752999893,4.155472319605428,6.642826072469402,8.957520397237044,0.08092504599338284,0.09031149491987006,0.23799952174724234,0.008086113529422399,0.9996397968461417,-43.29276895480697,-44.464455217504664,True,`gtol` termination condition is satisfied.
