gene,metric,siPum1_minus_siNeg,se_diff,z,p_two_sided,p_adj_holm,q_BH,significant
Esrrb,k,0.97963925180853,0.20540326939379971,4.769345953935927,1.8482501539958059e-06,9.24125076997903e-06,4.0100698000454513e-35,True
Klf2,k,2.6174232449138435,1.7156366849562716,1.5256279303566866,0.12710255217626537,0.3813076565287961,4.0100698000454513e-35,False
Klf4,k,-0.366125187736708,0.26337659256179985,-1.3901204513867296,0.16449230395628622,0.3813076565287961,4.0100698000454513e-35,False
Nanog,k,0.26750653528097446,0.5070487071167472,0.5275756185280667,0.5977939191242887,0.5977939191242887,4.0100698000454513e-35,False
Tbx3,k,0.7594083691103347,0.1996863973202502,3.803005008360292,0.00014295146449003112,0.0005718058579601245,4.0100698000454513e-35,True
Tfcp2l1,k,2.985431656805261,0.2386667013342749,12.50879004115403,6.683449666742419e-36,4.0100698000454513e-35,4.0100698000454513e-35,True
