gene,metric,siPum1_minus_siNeg,se_diff,z,p_two_sided,p_adj_holm,q_BH,significant
Esrrb,lam,4.128025749318596,1.030036995733196,4.0076480421756155,6.132642015600791e-05,0.00018397926046802374,1.950618803898563e-170,True
Klf2,lam,2.580829514429516,0.5059971340930621,5.10048247418503,3.387887521152567e-07,1.3551550084610267e-06,1.950618803898563e-170,True
Klf4,lam,-0.8278276326631566,4.3708278794935485,-0.18939836010176583,0.8497806096584742,1.0,1.950618803898563e-170,False
Nanog,lam,6.6376574358880855,15.483777197242683,0.4286846388535031,0.6681527410365847,1.0,1.950618803898563e-170,False
Tbx3,lam,5.0538009418727095,0.8012268995192798,6.3075777222468306,2.8343625707657165e-10,1.4171812853828582e-09,1.950618803898563e-170,True
Tfcp2l1,lam,2.4654198258500735,0.08838871593515484,27.89292501611625,3.2510313398309385e-171,1.950618803898563e-170,1.950618803898563e-170,True
