gene,t0,lam,k,pi,t10,t50,t90,lam_se,t50_se,k_se,pi_se,r2,AIC,BIC,success,message
Tbx3,0.0,2.9340826846285606,0.7518643490949654,0.9826166001405287,0.14709821446613264,1.8020460691043287,8.896702121217338,0.14809645260466292,0.1548999921816488,0.06555611325738149,0.007284775144737413,0.9997705844844221,-45.93022116034413,-47.10190742304183,True,`ftol` termination condition is satisfied.
Tfcp2l1,0.0,3.8771582212354105,0.50180706538442,0.9999999999999999,0.04374296322982724,1.8677160820210177,20.433188448432645,1.8759785200713497,0.8892837811949484,0.3375508640842796,0.14895174153453106,0.9885434860373868,-26.777876659660336,-27.949562922358034,True,`ftol` termination condition is satisfied.
Klf2,0.0,4.7146598489870275,0.562839560264116,0.9999999999999999,0.08650416921547069,2.458352332589732,20.749177200386324,1.4462951653373606,0.6525921732595151,0.22831717789974715,0.09309415937171343,0.9938875168099391,-29.91621362923678,-31.087899891934477,True,`ftol` termination condition is satisfied.
Nanog,0.0,8.094263424165566,1.0194216008322936,0.9995477015422248,0.8901737028860558,5.649829254672386,18.34392384129598,0.8973163480648287,0.50069533656063,0.16595173027705845,0.034937604758158256,0.9965939687112635,-32.34506617520715,-33.51675243790485,True,`ftol` termination condition is satisfied.
Klf4,0.0,7.9065611738400685,3.3708784853915263,0.8674999999999999,4.0556143641074645,7.091974149888601,10.126095633429358,0.01995291914738791,0.01921436615905183,0.04713920007938051,0.0017677752393674892,0.9999820093873577,-58.49609913045059,-59.667785393148286,True,`gtol` termination condition is satisfied.
Esrrb,0.0,9.951349195515936,1.1543965330862358,0.9955325169092375,1.4166850043244126,7.244300712283618,20.495218959770728,1.3320050515866027,0.7692802948224863,0.19974898439865815,0.04382672979257494,0.9949756427190134,-30.2505063630146,-31.4221926257123,True,`ftol` termination condition is satisfied.
