gene,metric,siPum1_minus_siNeg,se_diff,z,p_two_sided,p_adj_holm,q_BH,significant
Esrrb,pi,-0.11802982606692047,0.040061317745684014,-2.946229248278693,0.003216738955256003,0.012866955821024012,3.127856648162387e-14,True
Klf2,pi,-0.2215496149463705,0.03838556628136717,-5.771690674625098,7.848008538075663e-09,3.924004269037831e-08,3.127856648162387e-14,True
Klf4,pi,-5.540012892879531e-14,0.18526148674918685,-2.9903748426567384e-13,0.9999999999997614,1.0,3.127856648162387e-14,False
Nanog,pi,-2.0761170560490427e-14,0.5675550405075018,-3.6580012648510715e-14,0.9999999999999708,1.0,3.127856648162387e-14,False
Tbx3,pi,-0.0017360460941967526,0.04974377504969115,-0.0348997656985732,0.9721596674461851,1.0,3.127856648162387e-14,False
Tfcp2l1,pi,-0.06633407332379948,0.008480816981252123,-7.821660751604357,5.2130944136039786e-15,3.127856648162387e-14,3.127856648162387e-14,True
