gene,metric,siPum1_minus_siNeg,se_diff,z,p_two_sided,p_adj_holm,q_BH,significant
Esrrb,t50,4.378012638052289,0.6481884098341608,6.754228510769584,1.435972790808226e-11,5.743891163232904e-11,8.004540359949247e-260,True
Klf2,t50,2.7442966516356426,0.6376733714418461,4.303608672619497,1.680383645051578e-05,5.041150935154734e-05,8.004540359949247e-260,True
Klf4,t50,-1.432541224017636,2.4399606776030343,-0.5871165208387433,0.5571254527054661,1.0,8.004540359949247e-260,False
Nanog,t50,5.475157823100952,9.568118845335965,0.5722292868226495,0.567166648862824,1.0,8.004540359949247e-260,False
Tbx3,t50,4.817972576821636,0.4551940321129696,10.584437046454767,3.5188960992538894e-26,1.7594480496269447e-25,8.004540359949247e-260,True
Tfcp2l1,t50,3.271036087136322,0.09485315522879467,34.485263871784525,1.334090059991541e-260,8.004540359949247e-260,8.004540359949247e-260,True
