condition,t0,lam,k,pi,t10,t50,t90,lam_se,t50_se,k_se,r2,AIC,BIC,success,message
NGFP1,0.0,27.95220588809034,1.3613847954826641,1.0,5.352144902776419,21.35477682835037,51.579869229664205,0.36157581868442296,0.31552338353002674,0.041110016216298347,0.995878126687228,-123.71702474267876,-122.1718472981992,True,`ftol` termination condition is satisfied.
NGFP1-Lin28OE,0.0,29.15569349728913,1.8038521296133911,1.0,8.373868410094142,23.79479237549166,46.29398697601826,0.7632714237551617,0.659734469531902,0.1377012102782815,0.9890123705291632,-52.04264422753435,-51.883761144174684,True,`ftol` termination condition is satisfied.
NGFP1-NanogOE,0.0,13.07375719922014,1.4760967624830792,1.0,2.846436291120939,10.199189381008635,23.003181777492728,1.1644387080128236,1.0471452800892573,0.3159625596759248,0.9283080884093624,-31.601764349032628,-31.709944050922,True,`ftol` termination condition is satisfied.
NGFP1-p21KD,0.0,13.347920984606024,1.236877097624519,1.0,2.1640169437315198,9.924827333510702,26.197544072016278,0.6915326395387033,0.618287702367376,0.13546820691051314,0.985546508659408,-36.14721283138505,-36.56369389292894,True,`ftol` termination condition is satisfied.
NGFP1-p53KD,0.0,11.55933108296157,1.223160523969087,1.0,1.836195522545605,8.566410724623044,22.85933823163345,0.3654473682799451,0.3308386375596523,0.07689133556683969,0.9957230589013947,-42.67158990841726,-43.08807096996115,True,`ftol` termination condition is satisfied.
