condition_a,condition_b,diff,se_diff,z,p_two_sided,q_BH,significant_FDR
NGFP1,NGFP1-Lin28OE,-0.44246733413072703,0.1437068430709123,-3.078958000019463,0.0020772596430447695,0.010386298215223848,True
NGFP1,NGFP1-NanogOE,-0.11471196700041508,0.3186257562568768,-0.36002101132067316,0.7188314209121794,0.7987015787913105,False
NGFP1,NGFP1-p21KD,0.1245076978581452,0.14156860003847574,0.879486678714816,0.3791374528425311,0.608151018546636,False
NGFP1,NGFP1-p53KD,0.13822427151357708,0.08719123189034927,1.5853001330157417,0.11289815885122027,0.2822453971280507,False
NGFP1-Lin28OE,NGFP1-NanogOE,0.32775536713031195,0.34466500029603503,0.9509389315677562,0.3416353772651072,0.608151018546636,False
NGFP1-Lin28OE,NGFP1-p21KD,0.5669750319888722,0.19316640079385727,2.935163825897108,0.003333716270222886,0.01111238756740962,True
NGFP1-Lin28OE,NGFP1-p53KD,0.5806916056443041,0.15771461821072846,3.6819136503150274,0.00023148982192028637,0.0023148982192028635,True
NGFP1-NanogOE,NGFP1-p21KD,0.23921966485856028,0.3437789612534658,0.6958531260503324,0.4865208148373088,0.608151018546636,False
NGFP1-NanogOE,NGFP1-p53KD,0.25293623851399216,0.32518397347073347,0.7778250441261565,0.43667216159006106,0.608151018546636,False
NGFP1-p21KD,NGFP1-p53KD,0.013716573655431885,0.15576877918505347,0.08805727134278032,0.929831156930653,0.9298311569306531,False
